[03:55:59.079] (debug) src\Controller.cpp:858: Using OEM C:\Program Files (x86)\PHOTORECOVERY Professional 2015\/PR5.OEM
[03:55:59.079] (debug) src\LUAVM.cpp:94: Loading lua source.
[03:55:59.126] (debug) src\Controller.cpp:156: AVF 5.1.2.4 AVS 5.1
[03:55:59.126] (debug) src\Controller.cpp:161: OS: MajorVersion 6 MinorVersion 1 Build 7601
[03:55:59.126] (debug) src\Controller.cpp:162: OS: CSDVersion Service Pack 1
[03:55:59.126] (debug) src\Controller.cpp:163: OS: SPMajor 1 SPMinor 0
[03:55:59.126] (debug) src\Controller.cpp:176: OS: ProductType 1 NT_WORKSTATION
[03:55:59.126] (debug) src\Controller.cpp:199: OS: SuiteMask 256 - SINGLEUSERTS
[03:55:59.126] (debug) src\Controller.cpp:213: DebugBasePath ''
[03:55:59.126] (debug) src\Controller.cpp:214: ApplicationRootPath 'C:\Program Files (x86)\PHOTORECOVERY Professional 2015\'
[03:55:59.126] (debug) src\Controller.cpp:215: ApplicationResourcePath 'C:\Program Files (x86)\PHOTORECOVERY Professional 2015\'
[03:55:59.126] (debug) src\Controller.cpp:216: ApplicationExecutablePath 'C:\Program Files (x86)\PHOTORECOVERY Professional 2015\'
[03:55:59.126] (debug) src\Controller.cpp:217: UserDataPath 'C:\Users\Pavel\AppData\Local'
[03:55:59.126] (debug) src\Controller.cpp:218: AppUserDataPath 'C:\Users\Pavel\AppData\Local\LC Technology Inc\PHOTORECOVERY PRO'
[03:55:59.126] (debug) src\Controller.cpp:219: UserHomePath 'C:\Users\Pavel'
[03:55:59.126] (debug) src\Controller.cpp:220: ExecutableName 'PR5.exe' - 'C:\Program Files (x86)\PHOTORECOVERY Professional 2015\PR5.exe'
[03:55:59.126] (debug) src\Controller.cpp:221: StartupPath 'C:\Program Files (x86)\PHOTORECOVERY Professional 2015\'
[03:55:59.126] (debug) src\Controller.cpp:223: SingleInstanceID 'PRPRO'
[03:55:59.126] (debug) src\Controller.cpp:229: RegistryPath HKCU/SOFTWARE/LC Technology Inc/PHOTORECOVERY PRO/5.0
[03:55:59.126] (debug) src\RunModeHandlerLicman.cpp:249: Using liclang ru
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:119: File Type ID;Extension;Category;Name;Content Handler ID;Content Handler Name;MinSize;MaxSize
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 123;123;Document;Lotus 1-2-3 File;ContentRecognizer123;Lotus 1-2-3 File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 12M;12m;Document;Lotus 1-2-3 File;ContentRecognizer12M;Lotus 1-2-3 File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 16SV;16sv;Audio;EA IFF 16SV sound;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 3DM;3dm;Document;OS/X QuickDraw 3D;ContentRecognizer3DM;OS/X QuickDraw 3D;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 3FR;3fr;Image;Hasselblad 3FR Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 3G2;3g2;Video;3GPP2 Multimedia;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 3GP;3gp;Video;3GPP Multimedia;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 68K;68k;Other;OS/X System File;ContentRecognizer68K;OS/X System File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: 8SVX;8svx;Audio;EA IFF 85 8-bit sound;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AAC;aac;Audio;Advanced Audio Coding Stream;ContentRecognizerAdvancedAudioCoding;Advanced Audio Coding;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ADM;adm;Document;Microsoft System Policy Template;ContentRecognizerADM;Microsoft System Policy Template;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AFM;afm;Document;Adobe Font Metrics;ContentRecognizerAFM;Adobe Font Metrics;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: AI;ai;Document;Adobe Illustrator;ContentRecognizerPDF;Portable Document Format;512;536870912
